Nom;Numéro;Protocole;Description
Unassigned;0;TCP;Reserved
Unassigned;0;UDP;Reserved
tcpmux;1;TCP;TCP Port Service Multiplexer
tcpmux;1;UDP;TCP Port Service Multiplexer
compressnet;2;TCP;Management Utility
compressnet;2;UDP;Management Utility
compressnet;3;TCP;Compression Process
compressnet;3;UDP;Compression Process
Unassigned;4;TCP;Unassigned
Unassigned;4;UDP;Unassigned
rje;5;TCP;Remote Job Entry
rje;5;UDP;Remote Job Entry
Unassigned;6;TCP;Unassigned
Unassigned;6;UDP;Unassigned
echo;7;TCP;Echo
echo;7;UDP;Echo
Unassigned;8;TCP;Unassigned
Unassigned;8;UDP;Unassigned
discard;9;UDP;Discard
discard;9;UDP;Discard
discard;9;TCP;Discard
discard;9;UDP;Discard
Unassigned;10;TCP;Unassigned
Unassigned;10;UDP;Unassigned
systat;11;TCP;Active Users
systat;11;UDP;Active Users
Unassigned;12;TCP;Unassigned
Unassigned;12;UDP;Unassigned
daytime;13;TCP;Daytime
daytime;13;UDP;Daytime
Unassigned;14;TCP;Unassigned
Unassigned;14;UDP;Unassigned
Unassigned;15;TCP;Unassigned [was netstat]
Unassigned;15;UDP;Unassigned
Unassigned;16;TCP;Unassigned
Unassigned;16;UDP;Unassigned
qotd;17;TCP;Quote of the Day
qotd;17;UDP;Quote of the Day
msp;18;TCP;Message Send Protocol (historic)
msp;18;UDP;Message Send Protocol (historic)
chargen;19;TCP;Character Generator
chargen;19;UDP;Character Generator
ftp-data;20;UDP;FTP
ftp-data;20;TCP;File Transfer [Default Data]
ftp-data;20;UDP;File Transfer [Default Data]
ftp;21;UDP;FTP
ftp;21;TCP;File Transfer Protocol [Control]
ftp;21;UDP;File Transfer Protocol [Control]
ssh;22;UDP;SSH
ssh;22;TCP;The Secure Shell (SSH) Protocol
ssh;22;UDP;The Secure Shell (SSH) Protocol
telnet;23;TCP;Telnet
telnet;23;UDP;Telnet
Unassigned;24;TCP;any private mail system
Unassigned;24;UDP;any private mail system
smtp;25;TCP;Simple Mail Transfer
smtp;25;UDP;Simple Mail Transfer
Unassigned;26;TCP;Unassigned
Unassigned;26;UDP;Unassigned
nsw-fe;27;TCP;NSW User System FE
nsw-fe;27;UDP;NSW User System FE
Unassigned;28;TCP;Unassigned
Unassigned;28;UDP;Unassigned
msg-icp;29;TCP;MSG ICP
msg-icp;29;UDP;MSG ICP
Unassigned;30;TCP;Unassigned
Unassigned;30;UDP;Unassigned
msg-auth;31;TCP;MSG Authentication
msg-auth;31;UDP;MSG Authentication
Unassigned;32;TCP;Unassigned
Unassigned;32;UDP;Unassigned
dsp;33;TCP;Display Support Protocol
dsp;33;UDP;Display Support Protocol
Unassigned;34;TCP;Unassigned
Unassigned;34;UDP;Unassigned
Unassigned;35;TCP;any private printer server
Unassigned;35;UDP;any private printer server
Unassigned;36;TCP;Unassigned
Unassigned;36;UDP;Unassigned
time;37;TCP;Time
time;37;UDP;Time
rap;38;TCP;Route Access Protocol
rap;38;UDP;Route Access Protocol
rlp;39;TCP;Resource Location Protocol
rlp;39;UDP;Resource Location Protocol
Unassigned;40;TCP;Unassigned
Unassigned;40;UDP;Unassigned
graphics;41;TCP;Graphics
graphics;41;UDP;Graphics
name;42;TCP;Host Name Server
nameserver;42;TCP;Host Name Server
name;42;UDP;Host Name Server
nameserver;42;UDP;Host Name Server
nicname;43;TCP;Who Is
nicname;43;UDP;Who Is
mpm-flags;44;TCP;MPM FLAGS Protocol
mpm-flags;44;UDP;MPM FLAGS Protocol
mpm;45;TCP;Message Processing Module [recv]
mpm;45;UDP;Message Processing Module [recv]
mpm-snd;46;TCP;MPM [default send]
mpm-snd;46;UDP;MPM [default send]
Unassigned;47;TCP;Reserved
Unassigned;47;UDP;Reserved
auditd;48;TCP;Digital Audit Daemon
auditd;48;UDP;Digital Audit Daemon
tacacs;49;TCP;Login Host Protocol (TACACS)
tacacs;49;UDP;Login Host Protocol (TACACS)
re-mail-ck;50;TCP;Remote Mail Checking Protocol
re-mail-ck;50;UDP;Remote Mail Checking Protocol
Unassigned;51;UDP;Reserved
xns-time;52;TCP;XNS Time Protocol
xns-time;52;UDP;XNS Time Protocol
domain;53;TCP;Domain Name Server
domain;53;UDP;Domain Name Server
xns-ch;54;TCP;XNS Clearinghouse
xns-ch;54;UDP;XNS Clearinghouse
isi-gl;55;TCP;ISI Graphics Language
isi-gl;55;UDP;ISI Graphics Language
xns-auth;56;TCP;XNS Authentication
xns-auth;56;UDP;XNS Authentication
Unassigned;57;TCP;any private terminal access
Unassigned;57;UDP;any private terminal access
xns-mail;58;TCP;XNS Mail
xns-mail;58;UDP;XNS Mail
Unassigned;59;TCP;any private file service
Unassigned;59;UDP;any private file service
Unassigned;60;TCP;Unassigned
Unassigned;60;UDP;Unassigned
Unassigned;61;TCP;Reserved
Unassigned;61;UDP;Reserved
acas;62;TCP;ACA Services
acas;62;UDP;ACA Services
whoispp;63;TCP;whois++
whois++;63;TCP;whois++
whoispp;63;UDP;whois++
whois++;63;UDP;whois++
covia;64;TCP;Communications Integrator (CI)
covia;64;UDP;Communications Integrator (CI)
tacacs-ds;65;TCP;TACACS-Database Service
tacacs-ds;65;UDP;TACACS-Database Service
sql-net;66;TCP;Oracle SQL*NET
sql*net;66;TCP;Oracle SQL*NET
sql-net;66;UDP;Oracle SQL*NET
sql*net;66;UDP;Oracle SQL*NET
bootps;67;TCP;Bootstrap Protocol Server
bootps;67;UDP;Bootstrap Protocol Server
bootpc;68;TCP;Bootstrap Protocol Client
bootpc;68;UDP;Bootstrap Protocol Client
tftp;69;TCP;Trivial File Transfer
tftp;69;UDP;Trivial File Transfer
gopher;70;TCP;Gopher
gopher;70;UDP;Gopher
netrjs-1;71;TCP;Remote Job Service
netrjs-1;71;UDP;Remote Job Service
netrjs-2;72;TCP;Remote Job Service
netrjs-2;72;UDP;Remote Job Service
netrjs-3;73;TCP;Remote Job Service
netrjs-3;73;UDP;Remote Job Service
netrjs-4;74;TCP;Remote Job Service
netrjs-4;74;UDP;Remote Job Service
Unassigned;75;TCP;any private dial out service
Unassigned;75;UDP;any private dial out service
deos;76;TCP;Distributed External Object Store
deos;76;UDP;Distributed External Object Store
Unassigned;77;TCP;any private RJE service
Unassigned;77;UDP;any private RJE service
vettcp;78;TCP;vettcp
vettcp;78;UDP;vettcp
finger;79;TCP;Finger
finger;79;UDP;Finger
http;80;UDP;HTTP
http;80;TCP;World Wide Web HTTP
www;80;TCP;World Wide Web HTTP
www-http;80;TCP;World Wide Web HTTP
http;80;UDP;World Wide Web HTTP
www;80;UDP;World Wide Web HTTP
www-http;80;UDP;World Wide Web HTTP
Unassigned;81;UDP;Unassigned
xfer;82;TCP;XFER Utility
xfer;82;UDP;XFER Utility
mit-ml-dev;83;TCP;MIT ML Device
mit-ml-dev;83;UDP;MIT ML Device
ctf;84;TCP;Common Trace Facility
ctf;84;UDP;Common Trace Facility
mit-ml-dev;85;TCP;MIT ML Device
mit-ml-dev;85;UDP;MIT ML Device
mfcobol;86;TCP;Micro Focus Cobol
mfcobol;86;UDP;Micro Focus Cobol
Unassigned;87;TCP;any private terminal link
Unassigned;87;UDP;any private terminal link
kerberos;88;TCP;Kerberos
kerberos;88;UDP;Kerberos
su-mit-tg;89;TCP;SU/MIT Telnet Gateway
su-mit-tg;89;UDP;SU/MIT Telnet Gateway
dnsix;90;TCP;DNSIX Securit Attribute Token Map
dnsix;90;UDP;DNSIX Securit Attribute Token Map
mit-dov;91;TCP;MIT Dover Spooler
mit-dov;91;UDP;MIT Dover Spooler
npp;92;TCP;Network Printing Protocol
npp;92;UDP;Network Printing Protocol
dcp;93;TCP;Device Control Protocol
dcp;93;UDP;Device Control Protocol
objcall;94;TCP;Tivoli Object Dispatcher
objcall;94;UDP;Tivoli Object Dispatcher
supdup;95;TCP;SUPDUP
supdup;95;UDP;SUPDUP
dixie;96;TCP;DIXIE Protocol Specification
dixie;96;UDP;DIXIE Protocol Specification
swift-rvf;97;TCP;Swift Remote Virtural File Protocol
swift-rvf;97;UDP;Swift Remote Virtural File Protocol
tacnews;98;TCP;TAC News
tacnews;98;UDP;TAC News
metagram;99;TCP;Metagram Relay
metagram;99;UDP;Metagram Relay
Unassigned;100;UDP;Unassigned
hostname;101;TCP;NIC Host Name Server
hostname;101;UDP;NIC Host Name Server
iso-tsap;102;TCP;ISO-TSAP Class 0
iso-tsap;102;UDP;ISO-TSAP Class 0
gppitnp;103;TCP;Genesis Point-to-Point Trans Net
gppitnp;103;UDP;Genesis Point-to-Point Trans Net
acr-nema;104;TCP;ACR-NEMA Digital Imag. & Comm. 300
acr-nema;104;UDP;ACR-NEMA Digital Imag. & Comm. 300
cso;105;TCP;CCSO name server protocol
csnet-ns;105;TCP;Mailbox Name Nameserver
cso;105;UDP;CCSO name server protocol
csnet-ns;105;UDP;Mailbox Name Nameserver
3com-tsmux;106;TCP;3COM-TSMUX
3com-tsmux;106;UDP;3COM-TSMUX
rtelnet;107;TCP;Remote Telnet Service
rtelnet;107;UDP;Remote Telnet Service
snagas;108;TCP;SNA Gateway Access Server
snagas;108;UDP;SNA Gateway Access Server
pop2;109;TCP;Post Office Protocol - Version 2
pop2;109;UDP;Post Office Protocol - Version 2
pop3;110;TCP;Post Office Protocol - Version 3
pop3;110;UDP;Post Office Protocol - Version 3
sunrpc;111;TCP;SUN Remote Procedure Call
sunrpc;111;UDP;SUN Remote Procedure Call
mcidas;112;TCP;McIDAS Data Transmission Protocol
mcidas;112;UDP;McIDAS Data Transmission Protocol
ident;113;TCP;Unassigned
auth;113;TCP;Authentication Service
auth;113;UDP;Authentication Service
Unassigned;114;UDP;unassigned
sftp;115;TCP;Simple File Transfer Protocol
sftp;115;UDP;Simple File Transfer Protocol
ansanotify;116;TCP;ANSA REX Notify
ansanotify;116;UDP;ANSA REX Notify
uucp-path;117;TCP;UUCP Path Service
uucp-path;117;UDP;UUCP Path Service
sqlserv;118;TCP;SQL Services
sqlserv;118;UDP;SQL Services
nntp;119;TCP;Network News Transfer Protocol
nntp;119;UDP;Network News Transfer Protocol
cfdptkt;120;TCP;CFDPTKT
cfdptkt;120;UDP;CFDPTKT
erpc;121;TCP;Encore Expedited Remote Pro.Call
erpc;121;UDP;Encore Expedited Remote Pro.Call
smakynet;122;TCP;SMAKYNET
smakynet;122;UDP;SMAKYNET
ntp;123;TCP;Network Time Protocol
ntp;123;UDP;Network Time Protocol
